Object,Admin,,,,,,Chatter External User,,,,,,Chatter Free User,,,,,,Chatter Moderator User,,,,,,ContractManager,,,,,,Cross Org Data Proxy User,,,,,,Custom: Marketing Profile,,,,,,Custom: Sales Profile,,,,,,Custom: Support Profile,,,,,,Customer Community Login User,,,,,,Customer Community User,,,,,,Customer Portal Manager Custom,,,,,,Customer Portal Manager Standard,,,,,,Dealer Profile,,,,,,Force.com - App Subscription User,,,,,,Force.com - Free User,,,,,,Gold Partner User,,,,,,Guest,,,,,,HighVolumePortal,,,,,,Identity User,,,,,,MarketingProfile,,,,,,Partner App Subscription User,,,,,,Partner Community Login User,,,,,,Partner Community User,,,,,,PlatformPortal,,,,,,ReadOnly,,,,,,Silver Partner User,,,,,,SolutionManager,,,,,,Standard,,,,,,StandardAul,,,,,,Work.com Only User,,,,,,roletree Profile,,,,,
,Read,Create,Edit,Delete,ModifyAll,ViewAll,Read,Create,Edit,Delete,ModifyAll,ViewAll,Read,Create,Edit,Delete,ModifyAll,ViewAll,Read,Create,Edit,Delete,ModifyAll,ViewAll,Read,Create,Edit,Delete,ModifyAll,ViewAll,Read,Create,Edit,Delete,ModifyAll,ViewAll,Read,Create,Edit,Delete,ModifyAll,ViewAll,Read,Create,Edit,Delete,ModifyAll,ViewAll,Read,Create,Edit,Delete,ModifyAll,ViewAll,Read,Create,Edit,Delete,ModifyAll,ViewAll,Read,Create,Edit,Delete,ModifyAll,ViewAll,Read,Create,Edit,Delete,ModifyAll,ViewAll,Read,Create,Edit,Delete,ModifyAll,ViewAll,Read,Create,Edit,Delete,ModifyAll,ViewAll,Read,Create,Edit,Delete,ModifyAll,ViewAll,Read,Create,Edit,Delete,ModifyAll,ViewAll,Read,Create,Edit,Delete,ModifyAll,ViewAll,Read,Create,Edit,Delete,ModifyAll,ViewAll,Read,Create,Edit,Delete,ModifyAll,ViewAll,Read,Create,Edit,Delete,ModifyAll,ViewAll,Read,Create,Edit,Delete,ModifyAll,ViewAll,Read,Create,Edit,Delete,ModifyAll,ViewAll,Read,Create,Edit,Delete,ModifyAll,ViewAll,Read,Create,Edit,Delete,ModifyAll,ViewAll,Read,Create,Edit,Delete,ModifyAll,ViewAll,Read,Create,Edit,Delete,ModifyAll,ViewAll,Read,Create,Edit,Delete,ModifyAll,ViewAll,Read,Create,Edit,Delete,ModifyAll,ViewAll,Read,Create,Edit,Delete,ModifyAll,ViewAll,Read,Create,Edit,Delete,ModifyAll,ViewAll,Read,Create,Edit,Delete,ModifyAll,ViewAll,Read,Create,Edit,Delete,ModifyAll,ViewAll
Account,√,√,√,√,√,√,,,,,,,,,,,,,,,,,,,√,√,√,√,,,√,,,,,,√,√,√,√,,,√,√,√,√,,,√,√,√,√,,,√,,√,,,,√,,√,,,,√,√,√,,,,√,,√,,,,,,,,,,√,√,√,√,,,,,,,,,√,√,√,,,,,,,,,,√,,√,,,,,,,,,,√,√,√,√,,,√,√,√,√,,,√,√,√,,,,√,√,√,,,,,,,,,,√,,,,,,√,,√,,,,√,√,√,√,,,√,√,√,√,,,√,√,√,√,,,,,,,,,,,,,,
Asset,√,√,√,√,√,√,,,,,,,,,,,,,,,,,,,√,√,√,√,,,,,,,,,√,√,√,√,,,√,√,√,√,,,√,√,√,√,,,√,√,√,,,,√,√,√,,,,√,√,√,,,,√,√,√,,,,,,,,,,,,,,,,,,,,,,√,√,√,,,,,,,,,,√,√,√,,,,,,,,,,√,√,√,√,,,,,,,,,√,√,√,,,,√,√,√,,,,,,,,,,√,,,,,,,,,,,,√,√,√,√,,,√,√,√,√,,,,,,,,,,,,,,,,,,,,
Campaign,√,√,√,√,√,√,,,,,,,,,,,,,,,,,,,√,,,,,,,,,,,,√,√,√,√,,,√,√,√,√,,,√,√,√,√,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,√,,,,,,,,,,,,,,,,,,,,,,,,√,√,√,√,,,,,,,,,√,,,,,,√,,,,,,,,,,,,√,,,,,,√,,,,,,√,,,,,,√,,,,,,,,,,,,,,,,,,,,,,,
Case,√,√,√,√,√,√,,,,,,,,,,,,,,,,,,,√,√,√,,,,,,,,,,√,√,√,,,,√,√,√,,,,√,√,√,√,,,√,√,√,,,,√,√,√,,,,√,√,√,,,,√,√,√,,,,,,,,,,,,,,,,,,,,,,√,√,√,,,,,,,,,,√,√,√,,,,,,,,,,√,√,√,,,,,,,,,,√,√,√,,,,√,√,√,,,,,,,,,,√,,,,,,,,,,,,√,√,√,,,,√,√,√,,,,,,,,,,,,,,,,,,,,,
Contact,√,√,√,√,√,√,,,,,,,,,,,,,,,,,,,√,√,√,√,,,√,,,,,,√,√,√,√,,,√,√,√,√,,,√,√,√,√,,,√,√,√,,,,√,√,√,,,,√,√,√,,,,√,,,,,,,,,,,,√,√,√,√,,,,,,,,,√,√,√,,,,,,,,,,√,√,√,,,,,,,,,,√,√,√,√,,,√,√,√,√,,,√,√,√,,,,√,√,√,,,,,,,,,,√,,,,,,√,,,,,,√,√,√,√,,,√,√,√,√,,,√,√,√,√,,,,,,,,,,,,,,
Contract,√,√,√,√,√,√,,,,,,,,,,,,,,,,,,,√,√,√,√,,,,,,,,,√,,,,,,√,,,,,,√,,,,,,√,√,√,√,,,√,√,√,√,,,√,√,√,√,,,√,√,√,√,,,,,,,,,,,,,,,,,,,,,√,√,√,√,,,,,,,,,,,,,,,,,,,,,√,√,√,√,,,,,,,,,√,√,√,√,,,√,√,√,√,,,,,,,,,√,,,,,,,,,,,,√,√,√,√,,,√,√,√,√,,,,,,,,,,,,,,,,,,,,
Expense__c,√,√,√,√,√,√,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idea,√,√,√,√,√,√,,,,,,,,,,,,,,,,,,,√,√,,,,,,,,,,,,,,,,,,,,,,,,,,,,,√,√,,,,,√,√,,,,,√,√,,,,,√,√,,,,,√,,,,,,√,√,,,,,,,,,,,√,√,,,,,√,,,,,,√,√,,,,,,,,,,,√,√,,,,,√,√,,,,,√,√,,,,,√,√,,,,,√,√,,,,,√,,,,,,√,√,,,,,√,√,,,,,√,√,,,,,√,√,,,,,,,,,,,√,,,,,
Lead,√,√,√,√,√,√,,,,,,,,,,,,,,,,,,,√,√,√,√,,,,,,,,,√,√,√,√,,,√,√,√,√,,,√,√,√,√,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,√,√,√,,,,,,,,,,,,,,,,,,,,,,√,√,√,√,,,,,,,,,√,√,√,,,,√,√,√,,,,,,,,,,√,,,,,,√,√,√,,,,√,√,√,√,,,√,√,√,√,,,,,,,,,,,,,,,,,,,,
Opportunity,√,√,√,√,√,√,,,,,,,,,,,,,,,,,,,√,√,√,√,,,,,,,,,√,√,√,√,,,√,√,√,√,,,√,√,√,√,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,√,√,√,,,,,,,,,,,,,,,,,,,,,,√,√,√,√,,,,,,,,,√,√,√,,,,√,√,√,,,,,,,,,,√,,,,,,,,,,,,√,√,√,√,,,√,√,√,√,,,,,,,,,,,,,,,,,,,,
Pricebook2,√,√,√,√,√,√,,,,,,,,,,,,,,,,,,,√,,,,,,,,,,,,√,,,,,,√,,,,,,√,,,,,,√,,,,,,√,,,,,,√,,,,,,√,,,,,,,,,,,,,,,,,,,,,,,,√,,,,,,,,,,,,√,,,,,,,,,,,,√,,,,,,,,,,,,√,,,,,,√,,,,,,√,,,,,,√,,,,,,,,,,,,√,,,,,,√,,,,,,,,,,,,,,,,,,,,,,,
Product2,√,√,√,√,√,√,,,,,,,,,,,,,,,,,,,√,,,,,,,,,,,,√,,,,,,√,,,,,,√,,,,,,√,,,,,,√,,,,,,√,,,,,,√,,,,,,,,,,,,,,,,,,,,,,,,√,,,,,,,,,,,,√,,,,,,,,,,,,√,,,,,,,,,,,,√,,,,,,√,,,,,,√,,,,,,√,,,,,,,,,,,,√,,,,,,√,,,,,,,,,,,,,,,,,,,,,,,
Quote,√,√,√,√,√,√,,,,,,,,,,,,,,,,,,,√,√,√,√,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,√,√,√,,,,,,,,,,,,,,,,,,,,,,√,√,√,√,,,,,,,,,√,√,√,,,,√,√,√,,,,,,,,,,√,,,,,,,,,,,,√,√,√,√,,,√,√,√,√,,,,,,,,,,,,,,,,,,,,
Solution,√,√,√,√,√,√,,,,,,,,,,,,,,,,,,,√,√,,,,,,,,,,,√,√,,,,,√,√,,,,,√,√,√,√,,,√,,,,,,√,,,,,,√,,,,,,√,,,,,,,,,,,,,,,,,,,,,,,,√,,,,,,,,,,,,,,,,,,,,,,,,√,√,,,,,,,,,,,√,,,,,,√,,,,,,,,,,,,√,,,,,,√,,,,,,√,√,√,√,,,√,√,,,,,,,,,,,,,,,,,,,,,,
