Permission,Admin,Chatter External User,Chatter Free User,Chatter Moderator User,ContractManager,Cross Org Data Proxy User,Custom: Marketing Profile,Custom: Sales Profile,Custom: Support Profile,Customer Community Login User,Customer Community User,Customer Portal Manager Custom,Customer Portal Manager Standard,Dealer Profile,Force.com - App Subscription User,Force.com - Free User,Gold Partner User,Guest,HighVolumePortal,Identity User,MarketingProfile,Partner App Subscription User,Partner Community Login User,Partner Community User,PlatformPortal,ReadOnly,Silver Partner User,SolutionManager,Standard,StandardAul,Work.com Only User,roletree Profile
ActivateContract,√,,,,√,,,,,,,,,,,,,,,,,,,,,,,,,,,
AllowUniversalSearch,√,,,,√,,,,,√,√,√,√,√,√,,√,√,√,,√,√,√,√,,√,,√,√,√,,√
AllowViewKnowledge,√,,,,√,,√,√,√,,,,,,,,,,,,√,,,,,√,,√,√,,,
ApiEnabled,√,√,√,√,√,,√,√,√,,,√,√,,√,√,,,,√,√,√,,,,√,,√,√,√,√,
ApproveContract,√,,,,√,,,,,,,,,,,,,,,,,,,,,,,,,,,
AssignPermissionSets,√,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AssignTopics,√,√,√,√,√,,√,√,√,√,√,√,√,,√,√,√,,√,√,√,√,√,√,√,√,√,√,√,√,√,
AuthorApex,√,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CanInsertFeedSystemFields,√,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CanUseNewDashboardBuilder,√,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ChatterFileLink,√,,√,√,√,,,,,,,,,,√,√,,,,√,√,√,,,,√,,√,√,√,√,
ChatterInternalUser,√,,√,√,√,,√,√,√,,,,,,√,√,,,,√,√,√,,,,√,,√,√,√,√,
ChatterInviteExternalUsers,√,√,√,√,√,,√,√,√,,,,,,√,√,,,,√,√,√,,,,√,,√,√,√,√,
ChatterOwnGroups,√,,√,√,√,,√,√,√,√,√,√,√,,√,√,√,,√,√,√,√,√,√,√,√,√,√,√,√,√,
ConnectOrgToEnvironmentHub,√,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ContentAdministrator,√,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ConvertLeads,√,,,,√,,√,√,√,,,,,,,,√,,,,√,,√,√,,,,√,√,,,
CreateCustomizeDashboards,√,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,√,
CreateCustomizeFilters,√,,,,√,,√,√,√,,,,,,√,√,,,,,√,√,,,,√,,√,√,√,√,
CreateCustomizeReports,√,,,,√,,√,√,√,,,,,,,,,,,,√,,,,,√,,√,√,√,√,
CreateDashboardFolders,√,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CreatePackaging,√,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CreateReportFolders,√,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CreateTopics,√,√,√,√,√,,√,√,√,,,√,√,,√,,√,,,√,√,√,√,√,√,√,,√,√,√,√,
CreateWorkspaces,√,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CustomMobileAppsAccess,,,,,,,,,,,,,,,√,√,,,,,,√,,,,,,,,√,,
CustomizeApplication,√,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DeleteActivatedContract,√,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DeleteTopics,√,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DistributeFromPersWksp,√,,,,√,,√,√,√,,,,,,√,√,,,,,√,√,,,,,,√,√,√,,
EditBillingInfo,√,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EditBrandTemplates,√,,,,,,,,,,,,,,,,,,,,√,,,,,,,,,,,
EditCaseComments,√,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
